codigoAlternativoEmpleado,codigoTipoIncremento,Motivo,codigoAlternativoSolicitante,fechaVigencia,esRetroactivo,Valor,codigoRubroSalarial
2698,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2705,3,aumento anual,1725,01/07/2015,NO,2092.45,1
2706,3,aumento anual,1725,01/07/2015,NO,2092.45,1
2707,3,aumento anual,1725,01/07/2015,NO,2092.45,1
2720,3,aumento anual,1725,01/07/2015,NO,1522.11,1
2722,3,aumento anual,1725,01/07/2015,NO,1522.11,1
2723,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2724,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2725,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2726,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2727,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2730,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2733,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2735,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2736,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2737,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2740,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2754,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2759,3,aumento anual,1725,01/07/2015,NO,1522.11,1
2760,3,aumento anual,1725,01/07/2015,NO,1456.22,1
2763,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2764,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2771,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2775,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2778,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2784,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2792,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2794,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2806,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2812,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2813,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2815,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2842,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2849,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2860,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2865,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2866,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2867,3,aumento anual,1725,01/07/2015,NO,1990.39,1
2870,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2873,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2887,3,aumento anual,1725,01/07/2015,NO,1584.25,1
2888,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2895,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2897,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2924,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2926,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2943,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2944,3,aumento anual,1725,01/07/2015,NO,1456.22,1
2949,3,aumento anual,1725,01/07/2015,NO,1456.23,1
2950,3,aumento anual,1725,01/07/2015,NO,1522.11,1
2957,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2958,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2964,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2965,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2966,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2967,3,aumento anual,1725,01/07/2015,NO,2092.45,1
2968,3,aumento anual,1725,01/07/2015,NO,2092.45,1
2969,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2970,3,aumento anual,1725,01/07/2015,NO,1584.25,1
2973,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2976,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2977,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2978,3,aumento anual,1725,01/07/2015,NO,1332.48,1
2991,3,aumento anual,1725,01/07/2015,NO,1584.25,1
2993,3,aumento anual,1725,01/07/2015,NO,1332.46,1
2996,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3006,3,aumento anual,1725,01/07/2015,NO,1332.48,1
3017,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3018,3,aumento anual,1725,01/07/2015,NO,1456.22,1
3020,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3022,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3023,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3026,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3029,3,aumento anual,1725,01/07/2015,NO,1456.22,1
3038,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3039,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3040,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3042,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3046,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3048,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3052,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3055,3,aumento anual,1725,01/07/2015,NO,1584.25,1
3058,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3064,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3065,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3068,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3070,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3073,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3078,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3080,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3081,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3082,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3086,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3090,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3092,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3094,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3095,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3096,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3097,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3099,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3101,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3102,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3103,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3104,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3106,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3108,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3109,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3110,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3111,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3112,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3113,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3117,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3119,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3121,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3123,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3124,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3126,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3133,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3134,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3135,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3140,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3142,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3146,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3147,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3148,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3149,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3151,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3152,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3154,3,aumento anual,1725,01/07/2015,NO,1332.46,1
3164,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3165,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3166,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3167,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3168,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3169,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3170,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3171,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3172,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3173,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3174,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3175,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3176,3,aumento anual,1725,01/07/2015,NO,1211.28,1
